Channel-Type,Edge,Time
TX,falling,12111
TX,rising,12214
TX,falling,12319
TX,rising,12422
TX,falling,12527
TX,rising,12630
TX,falling,13047
TX,rising,13150
TX,falling,13359
TX,rising,13462
TX,falling,13567
TX,rising,13774
TX,falling,13879
TX,rising,14086
TX,falling,14399
TX,rising,14502
TX,falling,14607
TX,rising,14918
TX,falling,15127
TX,rising,15230
TX,falling,15439
TX,rising,15542
TX,falling,15647
TX,rising,15958
TX,falling,16063
TX,rising,16270
TX,falling,16479
TX,rising,16582
TX,falling,16687
TX,rising,16790
TX,falling,16895
TX,rising,17310
TX,falling,17415
TX,rising,17622
TX,falling,23577
TX,rising,23993
TX,falling,24097
TX,rising,24305
TX,falling,24409
TX,rising,24513
TX,falling,24617
TX,rising,24721
TX,falling,24825
TX,rising,24929
TX,falling,25033
TX,rising,25241
TX,falling,25449
TX,rising,25553
TX,falling,25657
TX,rising,25969
TX,falling,26177
TX,rising,26281
TX,falling,26489
TX,rising,26593
TX,falling,26697
TX,rising,27009
TX,falling,27217
TX,rising,27321
TX,falling,27529
TX,rising,27633
TX,falling,27737
TX,rising,27841
TX,falling,28257
TX,rising,28361
TX,falling,28569
TX,rising,28673
TX,falling,28777
TX,rising,29089
TX,falling,29297
TX,rising,29401
TX,falling,29505
TX,rising,29713
TX,falling,29817
TX,rising,30441
TX,falling,30545
TX,rising,30753
TX,falling,30857
TX,rising,30961
TX,falling,31273
TX,rising,31377
TX,falling,31481
TX,rising,31585
TX,falling,31689
TX,rising,31793
TX,falling,31897
TX,rising,32001
TX,falling,32417
TX,rising,32521
TX,falling,32729
TX,rising,32833
TX,falling,32937
TX,rising,33145
TX,falling,33249
TX,rising,33457
TX,falling,33769
TX,rising,33873
TX,falling,33977
TX,rising,34289
TX,falling,34497
TX,rising,34601
TX,falling,34809
TX,rising,34913
TX,falling,35017
TX,rising,35329
TX,falling,35433
TX,rising,35641
TX,falling,35849
TX,rising,35953
TX,falling,36057
TX,rising,36161
TX,falling,36265
TX,rising,36681
TX,falling,36785
TX,rising,36993
TX,falling,42936
TX,rising,43352
TX,falling,43456
TX,rising,43664
TX,falling,43768
TX,rising,43872
TX,falling,43976
TX,rising,44080
TX,falling,44184
TX,rising,44288
TX,falling,44392
TX,rising,44600
TX,falling,44808
TX,rising,44912
TX,falling,45016
TX,rising,45328
TX,falling,45536
TX,rising,45640
TX,falling,45848
TX,rising,45952
TX,falling,46056
TX,rising,46368
TX,falling,46576
TX,rising,46680
TX,falling,46888
TX,rising,46992
TX,falling,47096
TX,rising,47200
TX,falling,47616
TX,rising,47720
TX,falling,47928
TX,rising,48032
TX,falling,48136
TX,rising,48448
TX,falling,48656
TX,rising,48760
TX,falling,48864
TX,rising,49072
TX,falling,49176
TX,rising,49800
TX,falling,49904
TX,rising,50112
TX,falling,50216
TX,rising,50320
TX,falling,50632
TX,rising,50739
TX,falling,50840
TX,rising,50944
TX,falling,51048
TX,rising,51152
TX,falling,51256
TX,rising,51360
TX,falling,51776
TX,rising,51880
TX,falling,52088
TX,rising,52192
TX,falling,52296
TX,rising,52504
TX,falling,52608
TX,rising,52816
TX,falling,53128
TX,rising,53232
TX,falling,53336
TX,rising,53648
TX,falling,53856
TX,rising,53960
TX,falling,54168
TX,rising,54272
TX,falling,54376
TX,rising,54688
TX,falling,54792
TX,rising,55000
TX,falling,55208
TX,rising,55312
TX,falling,55416
TX,rising,55520
TX,falling,55624
TX,rising,56040
TX,falling,56144
TX,rising,56352
TX,falling,62309
TX,rising,62725
TX,falling,62829
TX,rising,63037
TX,falling,63141
TX,rising,63245
TX,falling,63349
TX,rising,63453
TX,falling,63557
TX,rising,63661
TX,falling,63765
TX,rising,63973
TX,falling,64181
TX,rising,64285
TX,falling,64389
TX,rising,64701
TX,falling,64909
TX,rising,65013
TX,falling,65221
TX,rising,65325
TX,falling,65429
TX,rising,205
TX,falling,413
TX,rising,517
TX,falling,725
TX,rising,829
TX,falling,933
TX,rising,1037
TX,falling,1453
TX,rising,1557
TX,falling,1765
TX,rising,1869
TX,falling,1973
TX,rising,2285
TX,falling,2493
TX,rising,2597
TX,falling,2701
TX,rising,2909
TX,falling,3013
TX,rising,3637
TX,falling,3741
TX,rising,3949
TX,falling,4053
TX,rising,4157
TX,falling,4469
TX,rising,4573
TX,falling,4677
TX,rising,4781
TX,falling,4885
TX,rising,4989
TX,falling,5093
TX,rising,5197
TX,falling,5613
TX,rising,5717
TX,falling,5925
TX,rising,6029
TX,falling,6133
TX,rising,6341
TX,falling,6445
TX,rising,6653
TX,falling,6965
TX,rising,7069
TX,falling,7173
TX,rising,7485
TX,falling,7693
TX,rising,7797
TX,falling,8005
TX,rising,8109
TX,falling,8213
TX,rising,8525
TX,falling,8629
TX,rising,8837
TX,falling,9045
TX,rising,9149
TX,falling,9253
TX,rising,9357
TX,falling,9461
TX,rising,9877
TX,falling,9981
TX,rising,10189
